case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
1,1,1,1,ADV-0860,Clockwork Replicator,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-034/production-backlog-034-qwen27-nos-adv0860-v1.yml
2,1,2,1,ADV-0860,Clockwork Replicator,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-034/production-backlog-034-gptoss-ee-adv0860-v1.yml
3,1,3,1,ADV-0860,Clockwork Replicator,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-034/production-backlog-034-gemma-gmpb-adv0860-v1.yml
4,1,4,1,ADV-0860,Clockwork Replicator,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-034/production-backlog-034-qwen-combat-adv0860-v1.yml
5,1,5,1,ADV-0860,Clockwork Replicator,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-034/production-backlog-034-qwen-social-adv0860-v1.yml
6,1,6,1,ADV-0860,Clockwork Replicator,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-034/production-backlog-034-qwen-investigation-adv0860-v1.yml
7,1,7,1,ADV-0860,Clockwork Replicator,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-034/production-backlog-034-qwen-structural-openness-adv0860-v1.yml
8,1,8,1,ADV-0860,Clockwork Replicator,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-034/production-backlog-034-qwen-darkness-adv0860-v1.yml
9,1,9,1,ADV-0860,Clockwork Replicator,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-034/production-backlog-034-qwen-player-beginner-adv0860-v1.yml
10,1,10,1,ADV-0860,Clockwork Replicator,Micro Dungeons Annual Compendium 2024,ND Hobbies,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-034/production-backlog-034-qwen-gmbs-adv0860-v1.yml
